"Data used to generate the results reported herein. ""N.species"" is the number of species extant at a pseudolevel (age); the value for speciation includes the originating species but not the extinguishing species and, conversely, the value for extinction includes the extinguishing species but excludes the originators. Species turnover, used for spectral analysis, is simply the sum of the relevant speciation and extinction state probabilites. ﻿Raw speciation and species extinction probabilities calculated at each pseudolevel as the number of speciations or extinctions divided by the number of species extant. ﻿Raw species turnover probability calculated as the sum of raw speciation and raw extinction probability",,,,,,,,,
age,N.speciations,N.extinctions,N.turnover,N.species.speciation,N.species.extinction,raw.speciation.probability,raw.extinction.probability,raw.turnover.probability,mean.population.age.per.pseudolevel
36.05,1,1,2,43,43,0.023,0.023,0.047,7.416
36.15,0,0,0,43,43,0,0,0,7.496
36.25,0,0,0,43,43,0,0,0,7.396
36.35,0,1,1,43,44,0,0.023,0.023,7.296
36.45,1,0,1,44,43,0.023,0,0.023,7.195
36.55,0,1,1,43,44,0,0.023,0.023,7.261
36.65,0,0,0,44,44,0,0,0,7.307
36.75,0,0,0,44,44,0,0,0,7.207
36.85,1,0,1,44,43,0.023,0,0.023,7.107
36.95,0,0,0,43,43,0,0,0,7.171
37.05,0,0,0,43,43,0,0,0,7.071
37.15,0,0,0,43,43,0,0,0,6.971
37.25,0,1,1,43,44,0,0.023,0.023,6.871
37.35,0,1,1,44,45,0,0.022,0.022,6.694
37.45,0,0,0,45,45,0,0,0,6.676
37.55,0,0,0,45,45,0,0,0,6.576
37.65,1,0,1,45,44,0.022,0,0.022,6.476
37.75,0,0,0,44,44,0,0,0,6.523
37.85,0,0,0,44,44,0,0,0,6.423
37.95,0,3,3,44,47,0,0.064,0.064,6.323
38.05,1,1,2,47,47,0.021,0.021,0.043,6.471
38.15,0,1,1,47,48,0,0.021,0.021,6.452
38.25,0,0,0,48,48,0,0,0,6.307
38.35,0,0,0,48,48,0,0,0,6.207
38.45,1,0,1,48,47,0.021,0,0.021,6.107
38.55,1,0,1,47,46,0.021,0,0.021,6.135
38.65,0,0,0,46,46,0,0,0,6.166
38.75,0,1,1,46,47,0,0.021,0.021,6.066
38.85,0,0,0,47,47,0,0,0,6.092
38.95,2,1,3,47,46,0.043,0.022,0.064,5.992
39.05,2,0,2,46,44,0.043,0,0.043,6.118
39.15,1,0,1,44,43,0.023,0,0.023,6.293
39.25,0,1,1,43,44,0,0.023,0.023,6.338
39.35,0,0,0,44,44,0,0,0,6.278
39.45,0,0,0,44,44,0,0,0,6.178
39.55,0,1,1,44,45,0,0.022,0.022,6.078
39.65,0,1,1,45,46,0,0.022,0.022,5.972
39.75,1,1,2,46,46,0.022,0.022,0.043,5.831
39.85,0,0,0,46,46,0,0,0,5.820
39.95,1,3,4,46,48,0.022,0.063,0.084,5.720
40.05,0,2,2,48,50,0,0.040,0.040,5.681
40.15,0,1,1,50,51,0,0.020,0.020,5.531
40.25,1,1,2,51,51,0.020,0.020,0.039,5.366
40.35,1,0,1,51,50,0.020,0,0.020,5.317
40.45,1,3,4,50,52,0.020,0.058,0.078,5.323
40.55,0,0,0,52,52,0,0,0,5.409
40.65,1,2,3,52,53,0.019,0.038,0.057,5.309
40.75,0,0,0,53,53,0,0,0,5.308
40.85,0,0,0,53,53,0,0,0,5.208
40.95,1,0,1,53,52,0.019,0,0.019,5.108
41.05,0,0,0,52,52,0,0,0,5.105
41.15,0,1,1,52,53,0,0.019,0.019,5.005
41.25,0,0,0,53,53,0,0,0,4.855
41.35,0,1,1,53,54,0,0.019,0.019,4.755
41.45,1,0,1,54,53,0.019,0,0.019,4.608
41.55,0,0,0,53,53,0,0,0,4.593
41.65,0,0,0,53,53,0,0,0,4.493
41.75,0,0,0,53,53,0,0,0,4.393
41.85,2,3,5,53,54,0.038,0.056,0.093,4.293
41.95,0,0,0,54,54,0,0,0,4.443
42.05,2,1,3,54,53,0.037,0.019,0.056,4.343
42.15,0,0,0,53,53,0,0,0,4.583
42.25,0,1,1,53,54,0,0.019,0.019,4.483
42.35,2,0,2,54,52,0.037,0,0.037,4.381
42.45,0,0,0,52,52,0,0,0,4.447
42.55,0,2,2,52,54,0,0.037,0.037,4.347
42.65,1,1,2,54,54,0.019,0.019,0.037,4.846
42.75,2,1,3,54,53,0.037,0.019,0.056,4.834
42.85,0,3,3,53,56,0,0.054,0.054,5.077
42.95,0,0,0,56,56,0,0,0,5.075
43.05,0,0,0,56,56,0,0,0,4.975
43.15,1,0,1,56,55,0.018,0,0.018,4.875
43.25,0,2,2,55,57,0,0.035,0.035,4.863
