"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","mean.lifespan"
"294",29.25,0,1,1,44,45,0,0.0222222222222222,0.0222222222222222,11.8354545454545
"295",29.35,0,0,0,45,45,0,0,0,11.5888888888889
"296",29.45,0,0,0,45,45,0,0,0,11.4888888888889
"297",29.55,0,0,0,45,45,0,0,0,11.3888888888889
"298",29.65,1,0,1,45,44,0.0222222222222222,0,0.0222222222222222,11.2888888888889
"299",29.75,0,0,0,44,44,0,0,0,11.445
"300",29.85,0,0,0,44,44,0,0,0,11.345
"301",29.95,0,0,0,44,44,0,0,0,11.245
"302",30.05,0,0,0,44,44,0,0,0,11.145
"303",30.15,0,0,0,44,44,0,0,0,11.045
"304",30.25,0,0,0,44,44,0,0,0,10.945
"305",30.35,0,0,0,44,44,0,0,0,10.845
"306",30.45,0,1,1,44,45,0,0.0222222222222222,0.0222222222222222,10.745
"307",30.55,0,0,0,45,45,0,0,0,10.924
"308",30.65,0,0,0,45,45,0,0,0,10.824
"309",30.75,0,0,0,45,45,0,0,0,10.724
"310",30.85,0,0,0,45,45,0,0,0,10.624
"311",30.95,0,0,0,45,45,0,0,0,10.524
"312",31.05,0,0,0,45,45,0,0,0,10.424
"313",31.15,0,0,0,45,45,0,0,0,10.324
"314",31.25,0,0,0,45,45,0,0,0,10.224
"315",31.35,0,0,0,45,45,0,0,0,10.124
"316",31.45,0,0,0,45,45,0,0,0,10.024
"317",31.55,0,0,0,45,45,0,0,0,9.924
"318",31.65,0,0,0,45,45,0,0,0,9.824
"319",31.75,0,0,0,45,45,0,0,0,9.724
"320",31.85,0,0,0,45,45,0,0,0,9.624
"321",31.95,0,0,0,45,45,0,0,0,9.524
"322",32.05,11,0,11,45,34,0.244444444444444,0,0.244444444444444,9.424
"323",32.15,0,0,0,34,34,0,0,0,12.3670588235294
"324",32.25,0,0,0,34,34,0,0,0,12.2670588235294
"325",32.35,0,0,0,34,34,0,0,0,12.1670588235294
"326",32.45,0,0,0,34,34,0,0,0,12.0670588235294
"327",32.55,0,0,0,34,34,0,0,0,11.9670588235294
"328",32.65,0,0,0,34,34,0,0,0,11.8670588235294
"329",32.75,0,0,0,34,34,0,0,0,11.7670588235294
"330",32.85,0,0,0,34,34,0,0,0,11.6670588235294
"331",32.95,4,0,4,34,30,0.117647058823529,0,0.117647058823529,11.5670588235294
"332",33.05,0,0,0,30,30,0,0,0,13.0066666666667
"333",33.15,0,0,0,30,30,0,0,0,12.9066666666667
"334",33.25,0,0,0,30,30,0,0,0,12.8066666666667
"335",33.35,0,0,0,30,30,0,0,0,12.7066666666667
"336",33.45,0,0,0,30,30,0,0,0,12.6066666666667
"337",33.55,0,0,0,30,30,0,0,0,12.5066666666667
"338",33.65,0,0,0,30,30,0,0,0,12.4066666666667
"339",33.75,0,0,0,30,30,0,0,0,12.3066666666667
"340",33.85,3,0,3,30,27,0.1,0,0.1,12.2066666666667
"341",33.95,0,0,0,27,27,0,0,0,13.452962962963
"342",34.05,0,0,0,27,27,0,0,0,13.352962962963
"343",34.15,0,0,0,27,27,0,0,0,13.252962962963
"344",34.25,0,0,0,27,27,0,0,0,13.152962962963
"345",34.35,0,0,0,27,27,0,0,0,13.052962962963
"346",34.45,2,0,2,27,25,0.0740740740740741,0,0.0740740740740741,12.952962962963
"347",34.55,0,0,0,25,25,0,0,0,13.886
"348",34.65,0,0,0,25,25,0,0,0,13.786
"349",34.75,0,0,0,25,25,0,0,0,13.686
"350",34.85,0,0,0,25,25,0,0,0,13.586
"351",34.95,0,0,0,25,25,0,0,0,13.486
"352",35.05,0,0,0,25,25,0,0,0,13.386
"353",35.15,0,0,0,25,25,0,0,0,13.286
"354",35.25,0,0,0,25,25,0,0,0,13.186
